s/n ,State,Year,Population,Totalcrime_count,Totalcrime_loss,Bec_count,Bec_loss,Romance_counts,Romance_loss,Creditcard_count,Creditcard_loss,Databreach_count,Databreach_loss,GovtImp_count,GovtImp_loss,Age<20_count,Age<20_loss,Age<29_count,Age<29_loss,Age<39_count,Age<39_loss,Age<49_count,Age<49_loss,Age<59_count,Age<59_loss,Age>60_count,Age>60_loss
28,Nebraska,2020,"1,961,504 ","2,323 ","$14,179,656.00",76,"$2,877,131.00",130,"$2,127,112.00",44,"$41,149.00",172,"$236,318.00",71,"$588,401.00","65	","$49,490.00",249,"$265,058.00",319,"$1,124,758.00",364,"$737,712.00",311,"$1,185,606.00",404,"$4,048,483.00"
29,Nevada,2020,"3,104,614 ","16,933 ","$50,747,351.00",181,"$17,630,186.00",362,"$6,041,062.00",475,"$1,313,847.00","1,026","$2,235,973.00",181,"$443,559.00",356,"$450,971.00","1,258","$2,037,028.00","1,938","$4,539,640.00","3,556","$5,513,881.00","3,742	","$13,101,546.00","2,767","$11,580,787.00"
30,New Hampshire,2020,"1,377,529 ","2,138 ","$5,702,766.00",69,"$1,623,336.00",71,"$820,326.00",60,"$156,092.00",160,"$149,489.00",38,"$89,382.00",45,"$67,844.00",205,"$173,917.00",239,"$364,182.00",309,"$1,054,283.00","366	","$961,174.00",543,"$1,722,542.00"
31,New Jersey,2020,"9,288,994 ","16,535 ","$124,436,368.00",493,"$43,452,031.00",485,"$11,545,919.00",536,"$3,178,919.00","1,015","$3,703,466.00",291,"$6,396,438.00",584,"$848,585.00","1,523","$4,790,077.00","1,973","$9,932,530.00","1,984","$11,723,226.00","3,497","$20,127,017.00","2,671","$27,505,005.00"
32,New Mexico,2020,"2,117,522 ","3,594 ","$26,827,000.00",81,"$9,947,912.00",189,"$5,358,676.00",69,"$455,195.00",274,"$324,071.00",96,"$169,761.00",100,"$162,106.00",287,"$258,620.00",376,"$2,657,112.00",432,"$1,836,229.00",428,"$3,567,603.00",837,"$7,127,910.00"
33,New York,2020,"20,201,249 ","37,461 ","$479,822,000.00","1,300","$268,343,363.00","1,103","$36,286,815.00",940,"$13,546,478.00","2,561","$15,366,342.00",733,"$11,765,011.00",957,"$4,843,592.00","4,301","$22,063,343.00","4,925","$35,081,741.00","4,020","$59,230,500.00","4,225","$57,969,666.00","6,021","$55,314,852.00"
34,North Carolina,2020,"10,439,388 ","9,069 ","$79,596,000.00",473,"$24,878,389.00",558,"$14,446,583.00",339,"$1,602,454.00","1,082","$1,594,229.00",363,"$1,908,641.00",435,"$316,426.00","1,516","$2,303,906.00","1,681","$6,162,316.00","1,826","$11,218,376.00","1,892","$11,713,978.00","2,472","$27,854,588.00"
35,North Dakota,2020,"779,094 ",816 ,"$46,405,000.00",31,"$1,910,025.00",47,"$600,571.00",24,"$130,672.00",55,"$20,144,420.00",17,$700.00,19,"$284,186.00",85,"$129,030.00",127,"$573,911.00",125,"$21,222,952.00",139,"$575,758.00",104,"$1,008,768.00"
36,Ohio,2020,"11,799,448 ","14,065 ","$188,119,000.00",485,"$129,728,566.00",428,"$7,706,835.00",322,"$1,544,343.00","1,172","$1,784,972.00",303,"$3,088,331.00",378,"$486,199.00","1,347","$3,475,955.00","1,883","$7,624,819.00","2,185","$8,041,952.00","1,843","$112,569,190.00","2,711","$19,189,241.00"
37,Oklahoma,2020,"3,959,353 ","4,647 ","$23,991,000.00",149,"$6,820,000.00",212,"$4,497,000.00",152,"$235,000.00",14,"$572,000.00",133,"$545,000.00",164,"$83,613.00",537,"$931,711.00",822,"$1,801,569.00",833,"$3,084,291.00",749,"$5,061,914.00",897,"$7,613,157.00"
